Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
male,group E,master's degree,free/reduced,none,married,regularly,no,1.0,school_bus,5 - 10,69,66,55
male,group C,high school,standard,none,unknown,sometimes,yes,4.0,private,< 5,73,71,66
male,group C,some college,standard,none,married,sometimes,no,3.0,private,5 - 10,71,60,57
female,group C,some college,standard,completed,married,regularly,no,1.0,school_bus,5 - 10,51,56,58
female,group C,master's degree,standard,none,single,sometimes,no,2.0,private,> 10,68,75,77
female,group B,associate's degree,standard,none,unknown,sometimes,no,4.0,private,< 5,66,74,69
female,group C,some college,standard,none,married,regularly,no,1.0,school_bus,5 - 10,54,60,65
female,group C,associate's degree,free/reduced,completed,single,sometimes,yes,2.0,unknown,5 - 10,57,70,73
male,group E,master's degree,standard,completed,divorced,regularly,no,1.0,private,> 10,100,100,100
male,group A,master's degree,free/reduced,none,married,regularly,yes,3.0,private,< 5,59,59,56
female,group D,associate's degree,free/reduced,completed,married,sometimes,no,2.0,private,5 - 10,50,61,71
male,group C,master's degree,standard,completed,married,sometimes,no,1.0,unknown,5 - 10,100,99,100
female,group C,associate's degree,standard,completed,single,never,yes,3.0,private,5 - 10,73,83,82
female,group C,some college,free/reduced,none,married,never,yes,4.0,private,5 - 10,44,51,54
female,group D,bachelor's degree,free/reduced,none,married,sometimes,yes,3.0,school_bus,> 10,62,70,71
female,group B,high school,free/reduced,none,married,sometimes,no,4.0,school_bus,5 - 10,63,72,68
female,group E,high school,standard,none,divorced,sometimes,yes,4.0,private,5 - 10,61,68,65
male,unknown,bachelor's degree,free/reduced,none,divorced,sometimes,no,1.0,school_bus,5 - 10,86,86,83
female,unknown,bachelor's degree,free/reduced,none,married,regularly,yes,7.0,school_bus,< 5,43,60,64
male,group A,high school,standard,none,unknown,regularly,yes,0.0,school_bus,5 - 10,89,87,78
male,group C,unknown,standard,completed,married,sometimes,yes,3.0,school_bus,< 5,56,50,53
female,group E,some college,free/reduced,none,widowed,regularly,yes,0.0,private,5 - 10,86,92,96
male,group D,some high school,standard,none,divorced,never,no,6.0,private,> 10,80,65,69
female,group D,some college,standard,completed,married,sometimes,no,2.0,school_bus,unknown,68,76,83
male,group E,some college,standard,completed,married,regularly,yes,0.0,unknown,< 5,72,57,62
female,group D,associate's degree,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,49,57,66
female,group D,bachelor's degree,standard,completed,married,sometimes,no,2.0,private,5 - 10,95,100,100
male,group B,some college,standard,completed,single,sometimes,no,1.0,school_bus,5 - 10,89,76,77
male,group D,some high school,standard,completed,married,regularly,yes,1.0,school_bus,< 5,67,71,69
male,group E,master's degree,standard,completed,married,sometimes,yes,2.0,private,5 - 10,72,60,67
female,group D,some college,standard,none,married,sometimes,yes,0.0,private,5 - 10,68,66,70
male,group E,master's degree,free/reduced,completed,married,sometimes,yes,2.0,private,< 5,84,73,77
male,group C,some college,standard,completed,married,sometimes,no,1.0,private,5 - 10,59,49,46
female,group C,bachelor's degree,free/reduced,completed,single,regularly,yes,1.0,private,> 10,81,90,95
male,group D,some high school,standard,completed,unknown,regularly,no,1.0,school_bus,5 - 10,80,82,87
female,unknown,high school,standard,none,married,sometimes,yes,2.0,private,5 - 10,83,74,78
female,group C,bachelor's degree,free/reduced,none,single,regularly,no,0.0,unknown,5 - 10,77,85,91
female,group C,some high school,free/reduced,completed,married,regularly,no,3.0,unknown,< 5,55,69,69
male,group D,associate's degree,free/reduced,completed,married,sometimes,yes,0.0,private,5 - 10,83,86,86
female,group B,high school,standard,none,married,sometimes,yes,4.0,school_bus,5 - 10,72,79,75
female,group C,high school,free/reduced,none,single,sometimes,yes,2.0,school_bus,< 5,56,66,63
female,group E,some high school,standard,none,married,sometimes,yes,1.0,private,5 - 10,77,79,75
female,group A,associate's degree,standard,none,single,sometimes,no,6.0,unknown,5 - 10,87,96,91
female,group C,some college,free/reduced,none,single,regularly,no,2.0,school_bus,< 5,50,64,66
female,group A,bachelor's degree,standard,none,married,sometimes,yes,4.0,school_bus,> 10,91,97,97
male,group C,some high school,free/reduced,completed,married,never,yes,1.0,private,5 - 10,60,64,61
female,group B,some college,standard,completed,divorced,sometimes,yes,2.0,school_bus,< 5,69,91,84
male,group D,some college,free/reduced,none,single,sometimes,yes,1.0,school_bus,< 5,80,80,74
male,group D,some high school,free/reduced,completed,divorced,regularly,yes,3.0,school_bus,5 - 10,67,64,66
male,group D,some college,standard,none,married,regularly,yes,3.0,private,< 5,74,73,76
female,group E,high school,standard,none,married,never,yes,3.0,unknown,5 - 10,74,79,75
female,group B,some high school,free/reduced,none,married,sometimes,no,1.0,private,5 - 10,43,37,45
female,group E,associate's degree,standard,none,divorced,regularly,no,0.0,school_bus,> 10,84,78,78
female,group C,high school,standard,none,single,regularly,no,2.0,private,> 10,60,71,66
male,unknown,some college,standard,completed,divorced,regularly,yes,2.0,school_bus,5 - 10,58,56,58
female,group C,associate's degree,standard,completed,unknown,regularly,yes,4.0,unknown,< 5,86,92,92
female,group D,some college,standard,none,married,sometimes,yes,2.0,school_bus,< 5,45,53,53
male,group C,associate's degree,standard,none,married,sometimes,yes,2.0,private,5 - 10,70,70,62
female,group D,master's degree,free/reduced,none,single,regularly,yes,1.0,private,< 5,57,69,67
male,group B,some college,standard,none,single,regularly,no,4.0,unknown,< 5,67,70,69
female,group D,high school,free/reduced,none,married,never,yes,1.0,private,< 5,59,75,70
female,group B,high school,free/reduced,none,divorced,never,yes,1.0,private,> 10,72,77,83
male,group D,high school,standard,none,single,sometimes,yes,3.0,school_bus,< 5,79,65,67
male,unknown,some high school,standard,completed,single,regularly,yes,7.0,school_bus,unknown,66,55,56
female,group B,some college,standard,completed,divorced,sometimes,yes,3.0,private,5 - 10,54,74,76
female,group C,high school,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10,68,65,69
male,group D,some high school,free/reduced,none,divorced,sometimes,no,3.0,private,> 10,61,52,49
female,group A,high school,standard,none,single,sometimes,yes,4.0,unknown,5 - 10,65,69,67
male,unknown,master's degree,free/reduced,completed,married,sometimes,yes,2.0,private,> 10,80,79,79
male,group E,associate's degree,standard,completed,single,regularly,no,0.0,school_bus,> 10,90,84,82
male,group B,associate's degree,free/reduced,none,married,sometimes,no,6.0,private,unknown,53,40,44
male,group D,master's degree,free/reduced,completed,divorced,sometimes,yes,1.0,school_bus,5 - 10,96,90,98
male,group D,some high school,standard,none,married,never,no,0.0,private,5 - 10,63,54,51
male,group D,high school,standard,completed,single,sometimes,no,0.0,private,5 - 10,70,81,82
male,group B,high school,free/reduced,completed,married,never,yes,2.0,private,5 - 10,35,43,33
male,group C,associate's degree,free/reduced,none,single,sometimes,yes,0.0,school_bus,5 - 10,61,60,57
male,group C,bachelor's degree,free/reduced,completed,married,sometimes,yes,1.0,school_bus,5 - 10,87,89,88
female,group D,some high school,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,51,65,65
female,group D,some high school,standard,none,married,regularly,no,3.0,school_bus,> 10,82,80,84
male,group D,associate's degree,standard,none,married,never,no,2.0,private,< 5,74,67,66
male,group C,some college,standard,none,single,sometimes,no,1.0,private,5 - 10,55,35,42
male,group E,some college,free/reduced,none,married,regularly,yes,4.0,private,< 5,82,82,74
male,group D,associate's degree,standard,none,married,regularly,no,3.0,school_bus,5 - 10,59,54,56
female,group C,some college,standard,none,married,regularly,yes,3.0,unknown,5 - 10,62,69,71
male,group E,some high school,standard,completed,divorced,sometimes,yes,3.0,school_bus,5 - 10,63,58,57
male,group C,associate's degree,standard,none,married,regularly,yes,0.0,private,< 5,77,73,75
male,group A,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,< 5,64,65,63
female,group C,high school,free/reduced,completed,married,sometimes,yes,3.0,private,5 - 10,42,49,53
male,group C,associate's degree,free/reduced,none,single,sometimes,yes,4.0,school_bus,5 - 10,75,77,69
female,unknown,some high school,standard,none,single,regularly,yes,1.0,school_bus,5 - 10,46,55,61
male,group B,high school,standard,none,divorced,regularly,yes,2.0,school_bus,5 - 10,62,43,58
male,group D,some high school,standard,completed,married,never,no,2.0,school_bus,5 - 10,86,92,94
female,group D,associate's degree,standard,none,single,regularly,no,2.0,school_bus,> 10,88,86,92
male,group E,associate's degree,free/reduced,none,married,regularly,yes,0.0,school_bus,5 - 10,90,78,78
female,group C,some high school,free/reduced,none,married,sometimes,no,1.0,unknown,> 10,73,87,79
female,group B,master's degree,standard,completed,married,sometimes,no,2.0,private,5 - 10,80,88,95
female,group D,some high school,standard,none,married,sometimes,yes,2.0,school_bus,< 5,50,54,57
female,group C,some college,free/reduced,none,married,sometimes,yes,0.0,school_bus,5 - 10,48,53,51
male,group C,some high school,free/reduced,completed,married,sometimes,no,2.0,school_bus,< 5,73,79,73
male,group E,high school,standard,none,married,sometimes,yes,1.0,unknown,5 - 10,57,51,47
male,group C,some college,standard,none,married,sometimes,no,2.0,private,5 - 10,79,76,72
female,group D,some high school,standard,none,divorced,sometimes,yes,0.0,unknown,< 5,63,63,63
female,group C,master's degree,standard,none,married,regularly,yes,0.0,school_bus,< 5,63,73,69
female,group C,some high school,standard,none,married,never,yes,2.0,unknown,5 - 10,55,67,67
male,group C,high school,free/reduced,completed,divorced,sometimes,yes,1.0,private,5 - 10,55,48,51
female,group D,bachelor's degree,standard,completed,married,sometimes,no,1.0,school_bus,5 - 10,87,98,100
female,group B,some college,standard,none,single,regularly,yes,1.0,private,5 - 10,47,54,53
female,unknown,some college,free/reduced,none,single,never,yes,2.0,school_bus,> 10,50,65,66
male,group E,associate's degree,standard,none,divorced,regularly,yes,3.0,unknown,> 10,100,88,88
male,group C,master's degree,free/reduced,none,married,sometimes,no,2.0,private,5 - 10,85,83,83
female,group C,some high school,standard,completed,unknown,sometimes,no,4.0,private,> 10,94,96,100
male,group A,associate's degree,standard,completed,married,never,yes,4.0,unknown,< 5,64,67,68
male,group D,associate's degree,free/reduced,none,single,regularly,yes,0.0,school_bus,5 - 10,61,47,50
female,group E,some college,free/reduced,none,married,sometimes,no,2.0,private,5 - 10,55,62,57
female,group A,associate's degree,free/reduced,none,married,sometimes,yes,4.0,unknown,> 10,48,72,71
male,group E,high school,standard,completed,single,sometimes,yes,1.0,school_bus,< 5,97,94,91
female,group B,some high school,standard,none,unknown,sometimes,no,2.0,private,< 5,58,76,72
male,group D,bachelor's degree,standard,none,unknown,sometimes,yes,2.0,private,> 10,78,73,74
female,group A,some high school,free/reduced,completed,married,sometimes,no,4.0,private,< 5,62,70,72
male,group D,associate's degree,standard,completed,married,regularly,yes,2.0,school_bus,5 - 10,92,93,91
male,group C,high school,free/reduced,completed,married,never,yes,2.0,school_bus,5 - 10,46,52,46
female,group C,high school,standard,none,married,regularly,yes,3.0,unknown,5 - 10,61,75,75
male,group A,some high school,standard,none,divorced,regularly,yes,2.0,school_bus,5 - 10,63,61,59
male,group D,some high school,free/reduced,completed,single,sometimes,yes,1.0,school_bus,5 - 10,68,68,65
female,group B,some high school,standard,none,divorced,regularly,yes,6.0,school_bus,> 10,81,87,78
female,group C,unknown,free/reduced,none,married,regularly,yes,3.0,private,5 - 10,65,78,75
female,group C,some college,standard,none,married,never,yes,1.0,private,5 - 10,65,73,69
female,group E,associate's degree,standard,none,single,regularly,yes,1.0,school_bus,< 5,81,75,75
male,group D,unknown,standard,completed,single,sometimes,yes,3.0,school_bus,> 10,90,75,75
female,group B,associate's degree,free/reduced,completed,single,sometimes,no,1.0,private,< 5,61,68,72
male,group A,some college,standard,completed,divorced,regularly,yes,0.0,private,> 10,83,81,80
male,group B,associate's degree,standard,none,single,sometimes,yes,0.0,school_bus,5 - 10,55,56,53
female,group C,some high school,standard,none,divorced,never,yes,1.0,private,< 5,53,62,59
female,group C,some high school,standard,none,married,regularly,yes,1.0,school_bus,> 10,43,54,53
male,group A,associate's degree,standard,completed,single,never,yes,3.0,school_bus,5 - 10,94,98,92
female,group B,high school,standard,none,married,never,no,3.0,private,5 - 10,83,85,79
male,group D,some high school,standard,none,married,regularly,yes,0.0,school_bus,5 - 10,58,47,51
female,group C,master's degree,standard,completed,single,regularly,yes,0.0,private,< 5,83,93,98
male,group D,some high school,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,88,79,81
female,group C,high school,standard,completed,married,regularly,yes,4.0,unknown,< 5,52,69,70
male,group B,associate's degree,free/reduced,none,divorced,regularly,yes,2.0,school_bus,< 5,56,49,50
male,group E,master's degree,free/reduced,none,married,sometimes,no,2.0,private,< 5,76,74,68
female,group D,some college,free/reduced,completed,married,regularly,yes,2.0,school_bus,5 - 10,57,64,70
male,group E,associate's degree,standard,none,unknown,never,no,4.0,school_bus,5 - 10,97,95,85
female,group C,bachelor's degree,free/reduced,none,divorced,regularly,no,2.0,school_bus,5 - 10,54,74,69
female,group E,some high school,standard,none,divorced,regularly,no,3.0,private,5 - 10,81,97,91
female,group C,bachelor's degree,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,57,63,59
female,group A,some high school,free/reduced,none,widowed,sometimes,no,3.0,private,5 - 10,51,60,50
female,group C,some college,standard,none,married,regularly,no,2.0,school_bus,5 - 10,85,87,91
male,group C,associate's degree,standard,completed,married,sometimes,no,1.0,private,< 5,77,76,80
male,group D,some high school,free/reduced,none,single,regularly,yes,1.0,school_bus,5 - 10,72,59,57
male,group D,bachelor's degree,free/reduced,none,single,never,yes,1.0,private,5 - 10,83,78,77
female,group B,associate's degree,standard,none,married,regularly,no,1.0,private,< 5,61,64,56
female,group A,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,60,61,59
female,group E,some college,standard,none,married,regularly,no,3.0,private,< 5,49,47,51
male,group B,high school,standard,none,single,never,yes,0.0,school_bus,5 - 10,65,67,62
male,group B,high school,free/reduced,none,single,sometimes,yes,2.0,school_bus,5 - 10,58,47,50
male,group C,high school,standard,none,married,regularly,yes,0.0,private,< 5,61,62,56
female,group B,some high school,free/reduced,none,married,sometimes,yes,0.0,private,5 - 10,47,68,61
male,group E,associate's degree,standard,completed,unknown,sometimes,no,3.0,private,5 - 10,83,85,84
female,group E,bachelor's degree,standard,none,married,regularly,yes,1.0,private,5 - 10,83,78,76
female,group C,bachelor's degree,free/reduced,none,single,sometimes,yes,1.0,school_bus,5 - 10,33,43,45
female,group C,bachelor's degree,standard,none,single,sometimes,yes,3.0,private,< 5,43,54,52
male,group D,high school,standard,none,unknown,sometimes,yes,1.0,school_bus,5 - 10,68,67,66
female,group D,some high school,standard,none,married,regularly,yes,4.0,private,5 - 10,65,71,75
male,group E,some college,standard,completed,single,sometimes,no,3.0,school_bus,5 - 10,73,75,70
male,group A,unknown,standard,none,married,never,yes,4.0,unknown,5 - 10,55,47,43
male,group D,bachelor's degree,free/reduced,none,married,regularly,no,3.0,school_bus,5 - 10,88,77,71
male,group D,some college,free/reduced,none,unknown,never,yes,3.0,school_bus,5 - 10,49,60,60
female,group E,some high school,free/reduced,none,single,sometimes,yes,3.0,school_bus,> 10,50,63,59
male,group E,high school,free/reduced,none,married,regularly,yes,0.0,unknown,5 - 10,61,62,57
female,group D,high school,standard,none,single,sometimes,yes,1.0,private,< 5,63,54,59
male,group C,high school,free/reduced,completed,married,sometimes,yes,1.0,private,5 - 10,51,53,56
male,group E,some college,free/reduced,none,divorced,sometimes,yes,2.0,school_bus,< 5,68,65,61
male,group D,some college,standard,none,married,never,yes,0.0,school_bus,> 10,70,60,55
female,group E,associate's degree,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,72,71,74
female,unknown,associate's degree,free/reduced,none,married,sometimes,no,1.0,school_bus,5 - 10,57,74,76
female,unknown,master's degree,free/reduced,none,married,sometimes,no,2.0,private,> 10,72,85,86
female,group C,some college,standard,none,married,sometimes,yes,4.0,school_bus,> 10,46,60,58
male,group D,associate's degree,standard,none,married,never,yes,3.0,school_bus,5 - 10,75,69,69
female,group B,bachelor's degree,free/reduced,none,single,regularly,no,5.0,school_bus,> 10,79,83,81
female,group B,bachelor's degree,standard,completed,married,regularly,yes,1.0,school_bus,5 - 10,73,87,95
male,group A,high school,free/reduced,completed,married,regularly,yes,0.0,private,5 - 10,52,57,52
female,group C,high school,standard,completed,single,never,no,1.0,school_bus,5 - 10,46,70,64
female,group D,master's degree,standard,none,divorced,never,no,0.0,private,5 - 10,54,79,78
male,group C,high school,standard,none,married,never,no,2.0,private,< 5,47,46,42
male,group C,associate's degree,standard,none,married,sometimes,yes,0.0,private,5 - 10,51,49,47
female,group D,high school,standard,completed,married,sometimes,yes,0.0,school_bus,< 5,52,75,68
male,group C,some college,standard,none,married,sometimes,no,2.0,unknown,< 5,62,62,57
male,group D,some college,standard,none,single,sometimes,no,3.0,unknown,5 - 10,77,67,62
female,group D,high school,standard,none,married,sometimes,no,2.0,unknown,5 - 10,64,71,72
female,group C,high school,standard,completed,married,regularly,no,2.0,school_bus,5 - 10,76,92,94
female,group C,some college,standard,none,married,sometimes,yes,2.0,unknown,5 - 10,67,78,72
male,group C,master's degree,standard,none,single,regularly,yes,2.0,private,5 - 10,79,67,67
female,group B,associate's degree,free/reduced,completed,single,sometimes,yes,1.0,school_bus,5 - 10,77,90,99
female,group B,unknown,standard,none,married,sometimes,yes,2.0,unknown,< 5,48,39,47
female,group B,bachelor's degree,standard,none,married,regularly,yes,1.0,private,5 - 10,78,80,82
male,group B,associate's degree,standard,completed,married,regularly,no,1.0,private,5 - 10,70,72,71
female,group B,some high school,standard,none,married,never,no,6.0,private,5 - 10,72,76,73
male,group D,bachelor's degree,free/reduced,completed,widowed,never,no,1.0,school_bus,unknown,73,80,76
female,group E,high school,standard,none,single,regularly,no,1.0,private,> 10,83,95,86
male,group E,high school,standard,none,married,regularly,no,3.0,private,5 - 10,85,83,66
male,group B,high school,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,68,62,60
male,group B,some high school,standard,completed,married,sometimes,yes,0.0,unknown,5 - 10,88,87,87
male,group A,some college,free/reduced,none,married,sometimes,yes,1.0,private,5 - 10,49,52,42
female,group B,some high school,standard,none,single,regularly,yes,1.0,private,5 - 10,54,63,66
male,group E,some college,free/reduced,none,married,sometimes,yes,1.0,private,< 5,70,71,67
male,unknown,high school,standard,none,married,never,yes,3.0,school_bus,5 - 10,78,67,65
male,unknown,some college,standard,none,divorced,regularly,no,0.0,unknown,< 5,73,65,66
female,group D,some high school,standard,none,married,regularly,yes,0.0,private,> 10,74,78,78
female,group C,high school,standard,completed,married,sometimes,yes,1.0,school_bus,< 5,71,81,76
male,group D,some college,free/reduced,none,married,regularly,yes,2.0,school_bus,> 10,74,70,66
female,group D,high school,standard,none,married,sometimes,yes,2.0,school_bus,> 10,62,83,79
female,group D,some high school,standard,completed,single,regularly,yes,1.0,school_bus,5 - 10,85,89,98
female,group C,some college,standard,none,married,sometimes,yes,6.0,school_bus,5 - 10,61,66,71
male,group B,associate's degree,standard,none,married,sometimes,yes,1.0,school_bus,< 5,73,74,67
male,group D,unknown,free/reduced,none,married,regularly,yes,0.0,school_bus,< 5,68,71,66
female,group D,master's degree,standard,none,single,sometimes,yes,1.0,school_bus,< 5,73,77,79
male,group C,some high school,standard,completed,married,sometimes,yes,2.0,private,< 5,54,56,54
male,group A,associate's degree,standard,none,married,regularly,yes,3.0,private,5 - 10,65,58,58
female,group B,high school,standard,none,divorced,sometimes,no,3.0,private,5 - 10,62,65,64
female,group D,some high school,standard,completed,divorced,sometimes,no,2.0,school_bus,5 - 10,89,100,100
male,group A,unknown,standard,completed,married,never,yes,2.0,school_bus,> 10,59,59,56
female,group D,associate's degree,standard,none,married,sometimes,yes,4.0,private,< 5,49,57,57
male,group D,master's degree,standard,completed,single,sometimes,yes,3.0,school_bus,5 - 10,80,81,88
male,group A,some high school,standard,completed,single,regularly,yes,2.0,school_bus,< 5,71,72,76
female,group C,high school,free/reduced,completed,divorced,sometimes,yes,1.0,unknown,5 - 10,54,66,68
male,group E,some high school,standard,completed,divorced,sometimes,yes,2.0,school_bus,> 10,93,97,92
female,group C,associate's degree,free/reduced,completed,married,sometimes,yes,3.0,private,< 5,52,61,63
female,unknown,associate's degree,free/reduced,none,married,sometimes,yes,2.0,private,unknown,82,84,86
male,group B,high school,free/reduced,none,divorced,regularly,yes,0.0,school_bus,5 - 10,84,77,70
female,group C,unknown,free/reduced,none,married,never,yes,1.0,private,5 - 10,37,48,39
female,group C,some college,standard,completed,married,sometimes,yes,1.0,school_bus,> 10,53,53,57
male,group D,some high school,standard,none,single,regularly,yes,3.0,school_bus,5 - 10,79,75,73
male,group C,some high school,free/reduced,completed,married,regularly,yes,0.0,private,5 - 10,18,33,31
male,unknown,some high school,standard,completed,married,sometimes,no,2.0,school_bus,> 10,72,68,74
female,group B,high school,standard,completed,single,sometimes,yes,2.0,unknown,5 - 10,62,76,69
female,group B,some college,free/reduced,completed,married,sometimes,yes,1.0,school_bus,5 - 10,67,77,78
male,group B,associate's degree,standard,none,divorced,sometimes,no,1.0,private,5 - 10,68,73,72
male,group D,some high school,free/reduced,none,married,regularly,no,1.0,school_bus,< 5,83,68,77
male,group B,some college,standard,none,divorced,sometimes,yes,0.0,private,> 10,88,88,79
female,group D,some high school,free/reduced,completed,married,sometimes,yes,0.0,school_bus,5 - 10,43,63,62
female,group C,associate's degree,standard,none,married,never,no,4.0,private,< 5,83,89,86
male,group C,bachelor's degree,free/reduced,none,married,regularly,yes,3.0,school_bus,> 10,47,50,51
male,group D,some college,free/reduced,none,single,regularly,yes,3.0,private,5 - 10,63,62,59
male,group C,some college,standard,none,married,regularly,no,0.0,private,5 - 10,94,85,80
female,group E,high school,standard,completed,single,sometimes,yes,0.0,unknown,> 10,87,84,81
male,group E,bachelor's degree,free/reduced,none,married,regularly,yes,4.0,school_bus,< 5,69,59,60
male,unknown,master's degree,standard,none,divorced,regularly,yes,4.0,school_bus,5 - 10,75,65,65
male,group D,associate's degree,standard,completed,divorced,sometimes,yes,2.0,school_bus,< 5,83,68,76
male,group D,high school,standard,none,single,sometimes,yes,4.0,school_bus,> 10,76,59,58
female,group C,high school,free/reduced,completed,married,sometimes,yes,2.0,school_bus,5 - 10,18,30,35
female,group B,high school,standard,completed,married,sometimes,yes,0.0,school_bus,> 10,83,79,79
male,group B,some high school,standard,none,divorced,sometimes,yes,3.0,school_bus,5 - 10,67,56,49
female,group D,some high school,standard,completed,divorced,sometimes,yes,2.0,school_bus,> 10,94,100,100
female,group D,bachelor's degree,standard,completed,married,regularly,no,3.0,private,< 5,67,83,85
male,group B,associate's degree,free/reduced,completed,married,never,no,3.0,school_bus,5 - 10,62,62,56
male,group D,master's degree,free/reduced,completed,divorced,regularly,no,2.0,school_bus,5 - 10,62,69,70
female,group C,some high school,standard,none,divorced,regularly,yes,3.0,school_bus,5 - 10,81,75,77
male,group B,associate's degree,standard,completed,single,sometimes,no,5.0,school_bus,5 - 10,84,85,88
male,group E,some college,standard,completed,married,sometimes,yes,3.0,school_bus,5 - 10,75,61,62
female,group B,high school,free/reduced,completed,single,sometimes,yes,3.0,school_bus,5 - 10,39,53,48
male,unknown,associate's degree,standard,none,married,sometimes,yes,1.0,unknown,> 10,64,61,56
female,group A,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,46,60,58
female,group D,some high school,free/reduced,completed,married,regularly,no,3.0,school_bus,5 - 10,54,69,69
female,group E,bachelor's degree,free/reduced,none,unknown,sometimes,yes,0.0,school_bus,< 5,43,42,43
male,group B,associate's degree,standard,completed,married,sometimes,yes,5.0,school_bus,5 - 10,81,78,84
male,group D,high school,free/reduced,none,single,sometimes,yes,6.0,private,> 10,48,39,35
male,group C,high school,free/reduced,none,married,regularly,yes,2.0,private,5 - 10,59,55,52
male,group E,bachelor's degree,standard,none,married,never,yes,4.0,private,< 5,72,59,61
male,group D,some college,standard,completed,widowed,sometimes,yes,0.0,school_bus,< 5,97,92,92
male,group C,some high school,standard,none,divorced,sometimes,yes,5.0,school_bus,5 - 10,73,68,60
female,group E,some college,free/reduced,none,married,never,no,0.0,school_bus,> 10,70,85,78
female,group C,associate's degree,standard,none,single,sometimes,no,3.0,private,< 5,60,69,72
female,group A,unknown,standard,completed,divorced,regularly,yes,3.0,private,5 - 10,64,77,76
male,group E,associate's degree,standard,none,single,sometimes,no,3.0,school_bus,< 5,71,66,56
male,group B,some high school,standard,none,divorced,sometimes,no,5.0,unknown,5 - 10,57,49,43
female,group B,some college,standard,none,married,sometimes,yes,2.0,unknown,5 - 10,60,66,60
male,group C,associate's degree,standard,completed,married,regularly,yes,0.0,school_bus,5 - 10,77,78,76
male,group B,unknown,free/reduced,none,married,sometimes,yes,1.0,school_bus,< 5,69,58,60
male,group C,some college,standard,none,married,regularly,yes,3.0,school_bus,> 10,83,82,81
female,group C,associate's degree,standard,completed,divorced,sometimes,yes,4.0,private,< 5,95,98,98
female,group C,bachelor's degree,standard,none,married,regularly,yes,2.0,school_bus,> 10,92,94,94
male,group D,high school,free/reduced,none,unknown,sometimes,yes,1.0,private,> 10,43,39,36
male,group C,associate's degree,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10,69,70,61
female,group D,unknown,standard,none,married,sometimes,yes,3.0,school_bus,5 - 10,79,85,84
male,group E,some college,standard,none,married,sometimes,yes,1.0,private,> 10,80,69,67
female,group D,associate's degree,free/reduced,none,married,sometimes,no,1.0,school_bus,< 5,50,50,56
male,group B,some college,free/reduced,completed,married,regularly,yes,0.0,school_bus,5 - 10,57,61,66
female,group B,unknown,standard,none,single,never,no,1.0,unknown,5 - 10,89,93,92
male,group D,associate's degree,standard,none,married,never,no,1.0,private,> 10,85,80,78
female,group C,high school,standard,none,divorced,sometimes,yes,0.0,school_bus,5 - 10,53,65,61
male,group C,associate's degree,standard,completed,divorced,sometimes,yes,2.0,school_bus,unknown,75,80,76
female,group E,some college,free/reduced,none,married,never,yes,0.0,private,5 - 10,59,57,59
male,group E,bachelor's degree,standard,completed,married,regularly,no,1.0,private,< 5,85,78,84
female,group C,some college,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,79,96,97
male,group C,some high school,free/reduced,completed,married,regularly,no,3.0,private,< 5,60,73,61
female,group B,some college,standard,none,married,never,yes,0.0,unknown,5 - 10,76,82,82
male,group D,master's degree,standard,none,married,regularly,no,3.0,school_bus,> 10,77,74,71
female,group C,some college,free/reduced,none,single,regularly,no,4.0,private,< 5,49,59,59
female,group A,associate's degree,standard,completed,unknown,regularly,yes,5.0,private,5 - 10,65,68,74
male,group D,some high school,standard,none,married,regularly,no,3.0,private,5 - 10,82,81,85
male,group D,master's degree,standard,completed,single,sometimes,no,1.0,private,< 5,72,88,89
female,group D,some high school,standard,completed,married,sometimes,no,4.0,school_bus,< 5,74,83,86
male,group C,high school,standard,completed,married,sometimes,yes,2.0,school_bus,> 10,46,43,37
female,group B,some high school,standard,completed,divorced,regularly,yes,0.0,school_bus,5 - 10,81,90,89
male,group C,high school,free/reduced,none,divorced,sometimes,yes,0.0,school_bus,5 - 10,61,59,55
female,group D,high school,standard,completed,divorced,sometimes,yes,2.0,school_bus,5 - 10,41,48,52
female,group B,bachelor's degree,free/reduced,completed,divorced,sometimes,no,4.0,school_bus,< 5,63,63,68
male,group C,unknown,standard,none,married,never,yes,5.0,private,5 - 10,86,87,81
female,group E,master's degree,free/reduced,none,married,regularly,no,2.0,private,5 - 10,80,86,88
female,group D,some high school,free/reduced,none,married,never,no,1.0,school_bus,5 - 10,53,70,72
male,group A,high school,standard,none,single,regularly,no,4.0,school_bus,5 - 10,33,30,25
female,group C,master's degree,standard,none,married,regularly,yes,3.0,unknown,5 - 10,67,74,72
female,group E,high school,standard,none,single,sometimes,yes,0.0,school_bus,< 5,76,77,70
